User ID,Ethnicity,Gender,Education,Party,Topic,In Support,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
200000583,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0.4024,0.2336,0.4549,0.5196,0.3484,0.4095,0.3288,0.3486,0.4291,0.5196,0.4291
200000600,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.3725,0.2593,0.3479,0.3276,0.2517,0.3432,0.3293,0.1043,0.3043,0.3479,0.3432
200000828,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.1013,0.114,0.1897,0.2247,0.0589,0.1153,0.1113,0.2955,0.069,0.2247,0.2955
200000859,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.5143,0.3103,0.5244,0.5541,0.423,0.5012,0.4071,0.1789,0.4265,0.5541,0.5012
200000869,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0.4004,0.4776,0.3785,0.4509,0.4125,0.4172,0.2614,0.3181,0.3229,0.4776,0.4172
200000901,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.3463,0.4278,0.385,0.4221,0.3411,0.2993,0.2938,0.2083,0.3026,0.4278,0.3411
200001070,All Other,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.1353,0.0731,0.088,0.1296,0.079,0.1444,0.0731,0.1483,0.1363,0.1296,0.1483
200001105,White,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0.339,0.2699,0.3838,0.3703,0.2158,0.2689,0.307,0.2209,0.312,0.3838,0.312
200001338,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0.2164,0.0249,0.2338,0.3239,0.1423,0.263,0.1432,0.0487,0.1641,0.3239,0.263
200001463,All Other,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0.0326,0.1614,0.1001,-0.0131,0.07,0.0571,0.06,0.011,0.0497,0.1614,0.07
200001636,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.2006,0.3637,0.1761,0.2499,0.2666,0.1873,0.1499,0.0892,0.187,0.3637,0.2666
200001919,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.2385,0.2299,0.3482,0.24,0.3843,0.3584,0.2507,0.0239,0.3033,0.3482,0.3843
200001924,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0.2513,0.2155,0.1269,0.3157,0.1883,0.2601,0.1521,0.3105,0.1597,0.3157,0.3105
200001997,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.0437,0.1734,0.1052,-0.0065,0.0748,0.0687,0.078,0.0268,0.0614,0.1734,0.078
200002036,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.1498,0.0573,0.1863,0.2524,0.0699,0.0545,0.0759,0.3883,0.1401,0.2524,0.3883
200002042,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0.005,0.0784,0.0967,0.0315,-0.0179,0.022,0.0687,0.0692,0.0128,0.0967,0.0692
200002049,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,-0.0415,0.0559,-0.0179,-0.0389,-0.03,-0.0674,0.0293,0.114,0.0455,0.0559,0.114
200002213,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0.1088,0.085,0.0844,0.0923,0.0765,0.1048,0.1567,0.0265,0.133,0.0923,0.1567
200002438,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0.4519,0.1268,0.6071,0.4562,0.2854,0.4767,0.3759,0.161,0.3276,0.6071,0.4767
200002449,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0.2392,0.1997,0.2687,0.4352,0.2549,0.284,0.2425,0.2827,0.2229,0.4352,0.284
200002531,All Other,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0.3592,0.2376,0.4443,0.4179,0.3002,0.4195,0.3656,0.1196,0.3089,0.4443,0.4195
200002593,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0.1383,0.1255,0.1317,0.1718,0.1185,0.1217,0.0691,0.1073,0.1374,0.1718,0.1374
200002602,White,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0.0308,0.145,0.0464,0.1009,0.0917,0.0032,0.0537,0.0965,0.0436,0.145,0.0965
200002603,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0.0358,0.1481,0.0208,0.1903,0.0271,0.0388,0.0775,0.1491,0.0857,0.1903,0.1491
