0.70,0.73,0.66,0.75,0.75,-0.06,0.72,0.69,0.75,0.65,0.81,0.74,0.77,0.75,0.65,0.45,0.75,-0.06,0.72,0.78,0.67,0.71,0.79,0.41,0.80,0.73,0.72,0.75,0.70,0.62,-0.06,0.64,-0.06,0.68,-0.06,0.66,0.67,0.84,0.83,1.00,0.81,0.76,0.77,0.81,0.79,0.80,0.67,0.61,0.52,0.76
0.76,0.84,0.70,0.84,0.80,-0.07,0.79,0.73,0.80,0.70,0.82,0.75,0.88,0.82,0.68,0.55,0.81,-0.07,0.76,0.78,0.70,0.75,0.82,0.44,0.79,0.88,0.83,0.83,0.71,0.68,-0.07,0.71,-0.07,0.77,-0.07,0.72,0.79,0.81,0.87,0.81,1.00,0.81,0.87,0.83,0.78,0.80,0.71,0.72,0.60,0.84
0.73,0.69,0.63,0.77,0.68,-0.06,0.69,0.61,0.70,0.70,0.72,0.64,0.74,0.77,0.56,0.40,0.71,-0.06,0.61,0.75,0.66,0.73,0.81,0.30,0.71,0.71,0.66,0.67,0.64,0.52,-0.06,0.65,-0.06,0.62,-0.06,0.60,0.71,0.80,0.80,0.76,0.81,1.00,0.73,0.78,0.71,0.79,0.58,0.65,0.52,0.75
0.67,0.89,0.72,0.79,0.80,-0.03,0.76,0.79,0.83,0.74,0.79,0.87,0.84,0.78,0.74,0.65,0.79,-0.03,0.82,0.75,0.74,0.74,0.76,0.56,0.86,0.79,0.75,0.83,0.75,0.71,-0.03,0.68,-0.03,0.75,-0.03,0.79,0.74,0.76,0.78,0.77,0.87,0.73,1.00,0.78,0.84,0.77,0.77,0.69,0.56,0.84
0.65,0.82,0.66,0.86,0.79,-0.08,0.77,0.76,0.80,0.68,0.82,0.74,0.85,0.81,0.64,0.52,0.81,-0.08,0.72,0.74,0.73,0.74,0.82,0.44,0.83,0.81,0.75,0.75,0.70,0.62,-0.08,0.65,-0.08,0.68,-0.08,0.68,0.76,0.80,0.89,0.81,0.83,0.78,0.78,1.00,0.82,0.79,0.69,0.66,0.64,0.81
0.60,0.83,0.62,0.76,0.85,-0.07,0.75,0.74,0.82,0.69,0.73,0.86,0.81,0.73,0.67,0.54,0.76,-0.07,0.81,0.69,0.68,0.67,0.75,0.50,0.88,0.74,0.67,0.80,0.73,0.73,-0.07,0.60,-0.07,0.63,-0.07,0.71,0.62,0.78,0.81,0.79,0.78,0.71,0.84,0.82,1.00,0.74,0.82,0.58,0.53,0.81
0.71,0.74,0.75,0.73,0.68,-0.08,0.74,0.63,0.72,0.72,0.76,0.72,0.77,0.76,0.60,0.46,0.71,-0.08,0.70,0.83,0.73,0.71,0.79,0.36,0.76,0.70,0.66,0.72,0.66,0.54,-0.08,0.60,-0.08,0.69,-0.08,0.71,0.70,0.81,0.77,0.80,0.80,0.79,0.77,0.79,0.74,1.00,0.64,0.67,0.47,0.77
0.59,0.74,0.62,0.74,0.84,-0.05,0.75,0.75,0.82,0.60,0.68,0.87,0.81,0.65,0.71,0.53,0.73,-0.05,0.85,0.64,0.66,0.51,0.63,0.64,0.81,0.73,0.61,0.80,0.71,0.82,-0.05,0.55,-0.05,0.72,-0.05,0.69,0.56,0.58,0.71,0.67,0.71,0.58,0.77,0.69,0.82,0.64,1.00,0.57,0.36,0.84
0.61,0.65,0.67,0.66,0.60,-0.03,0.67,0.60,0.57,0.58,0.68,0.58,0.73,0.65,0.52,0.47,0.58,-0.03,0.55,0.65,0.63,0.65,0.71,0.44,0.65,0.67,0.64,0.59,0.55,0.48,-0.03,0.59,-0.03,0.64,-0.03,0.55,0.80,0.63,0.63,0.61,0.72,0.65,0.69,0.66,0.58,0.67,0.57,1.00,0.51,0.71
0.49,0.53,0.45,0.61,0.50,0.03,0.48,0.49,0.45,0.41,0.61,0.46,0.57,0.59,0.38,0.43,0.50,0.03,0.42,0.44,0.42,0.58,0.54,0.34,0.50,0.54,0.56,0.44,0.42,0.29,0.03,0.52,0.03,0.48,0.03,0.41,0.59,0.59,0.57,0.52,0.60,0.52,0.56,0.64,0.53,0.47,0.36,0.51,1.00,0.48
0.70,0.86,0.76,0.85,0.84,-0.02,0.87,0.84,0.86,0.68,0.80,0.83,0.88,0.81,0.75,0.56,0.84,-0.02,0.80,0.78,0.79,0.69,0.79,0.58,0.83,0.82,0.73,0.86,0.72,0.71,-0.02,0.68,-0.02,0.87,-0.02,0.78,0.75,0.70,0.81,0.76,0.84,0.75,0.84,0.81,0.81,0.77,0.84,0.71,0.48,1.00
