User ID,Ethnicity,Gender,Education,Party,Topic,In Support,favor,Similarity1,Similarity2,Similarity3,Similarity4,Similarity5,Similarity6,Similarity7,Similarity8,Similarity9,Similaritymax3,Similaritymax5
200000394,White,Woman,Post-Grad,I,Increasing size of House of Representatives,FALSE,0,0.243,0.2753,0.3015,0.2956,0.2916,0.4195,0.2885,0.2597,0.3389,0.3015,0.4195
200000396,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.2598,0.2463,0.3994,0.242,0.2982,0.2554,0.358,0.3558,0.1344,0.3994,0.358
200000583,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3367,0.3223,0.4442,0.383,0.3129,0.4643,0.5301,0.3218,0.3953,0.4442,0.5301
200000600,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.2618,0.2404,0.4771,0.273,0.2751,0.288,0.4016,0.2429,0.267,0.4771,0.4016
200000828,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1427,0.159,0.1409,0.116,0.0709,0.2023,0.181,0.0351,0.2236,0.159,0.2236
200000859,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3922,0.3393,0.6518,0.3534,0.3913,0.4433,0.6534,0.4078,0.3709,0.6518,0.6534
200000869,White,Man,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.4617,0.3931,0.5656,0.3379,0.4627,0.4281,0.4839,0.3294,0.3863,0.5656,0.4839
200000901,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2641,0.2549,0.4857,0.3313,0.3739,0.3822,0.4671,0.3487,0.297,0.4857,0.4671
200001070,All Other,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1469,0.062,0.1811,0.1309,0.1306,0.1812,0.1666,0.0495,0.2646,0.1811,0.2646
200001105,White,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0,0.2962,0.26,0.4569,0.3247,0.1836,0.37,0.4506,0.3006,0.3177,0.4569,0.4506
200001338,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.1474,0.1894,0.2479,0.2268,0.1264,0.2516,0.2863,0.133,0.1561,0.2479,0.2863
200001463,All Other,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0,0.0803,0.1756,0.1271,-0.0311,0.0732,0.0549,0.0657,0.0778,-0.014,0.1756,0.0778
200001636,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2501,0.2389,0.4002,0.1641,0.3473,0.1568,0.2378,0.1306,0.0931,0.4002,0.3473
200001919,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.3353,0.4149,0.3831,0.2213,0.2735,0.1827,0.2534,0.3499,0.1123,0.4149,0.3499
200001924,White,Man,Some College,R,Increasing size of House of Representatives,FALSE,0,0.2603,0.2317,0.2532,0.3001,0.1609,0.2765,0.1961,0.1661,0.3654,0.3001,0.3654
200001997,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.0889,0.1808,0.1455,-0.0091,0.0773,0.0655,0.0683,0.0887,0.0032,0.1808,0.0887
200002036,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1242,0.1069,0.1876,0.2152,0.118,0.2426,0.2695,0.0798,0.3593,0.2152,0.3593
200002042,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.0192,0.0664,0.0417,0.1023,0.0063,0.1104,0.0249,-0.0043,0.0844,0.1023,0.1104
200002049,White,Woman,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.0307,0.0664,0.0426,0.0729,0.0119,0.004,-0.0208,0.0418,0.0572,0.0729,0.0572
200002213,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,-0.0158,0.0919,0.1248,0.0815,0.1541,0.0081,0.1429,0.0247,0.0377,0.1248,0.1541
200002438,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.2942,0.2852,0.5678,0.2709,0.157,0.399,0.6734,0.3174,0.3188,0.5678,0.6734
200002449,White,Woman,4-Year,I,Increasing size of House of Representatives,FALSE,0,0.2916,0.3249,0.3066,0.2183,0.2665,0.2763,0.3668,0.2295,0.3307,0.3249,0.3668
200002531,All Other,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.4033,0.3856,0.4682,0.3265,0.1886,0.3881,0.4259,0.319,0.2696,0.4682,0.4259
200002593,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.1424,0.1785,0.2998,0.1752,0.2206,0.1045,0.1928,0.0604,0.1476,0.2998,0.2206
200002602,White,Woman,Some College,I,Increasing size of House of Representatives,FALSE,0,0.1133,0.0754,0.075,0.0766,0.0987,0.0606,0.0544,0.0609,0.0644,0.0766,0.0987
200002603,White,Man,Some College,D,Increasing size of House of Representatives,FALSE,0,0.0385,0.0488,0.0727,0.2008,0.0759,0.1463,0.0953,0.0583,0.0324,0.2008,0.1463
200002646,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3494,0.2428,0.4834,0.3297,0.1994,0.4673,0.4655,0.2514,0.5461,0.4834,0.5461
200002992,White,Man,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.336,0.3512,0.3131,0.2778,0.2774,0.1395,0.1559,0.2778,0.1089,0.3512,0.2778
200003234,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.307,0.2471,0.3789,0.4021,0.2362,0.4187,0.3764,0.3119,0.2875,0.4021,0.4187
200003281,White,Man,4-Year,D,Increasing size of House of Representatives,FALSE,0,0.4461,0.2248,0.2869,0.5721,0.1654,0.3657,0.3035,0.454,0.3479,0.5721,0.454
200003354,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.4648,0.3314,0.5315,0.4973,0.325,0.4246,0.5831,0.4334,0.4369,0.5315,0.5831
200003437,White,Woman,Some College,D,Increasing size of House of Representatives,FALSE,0,0.3099,0.1901,0.5078,0.3046,0.3299,0.3164,0.4112,0.2539,0.2108,0.5078,0.4112
200003457,White,Man,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.4436,0.3155,0.5105,0.4741,0.3067,0.4966,0.3567,0.4187,0.2951,0.5105,0.4966
200003706,White,Woman,Some College,R,Increasing size of House of Representatives,FALSE,0,0.0865,0.0697,0.2022,0.1065,0.099,0.1405,0.2277,0.0948,0.1445,0.2022,0.2277
200003903,White,Woman,Post-Grad,R,Increasing size of House of Representatives,FALSE,0,0.4082,0.3401,0.4802,0.1693,0.4573,0.3121,0.3388,0.2782,0.1733,0.4802,0.4573
200003958,White,Woman,4-Year,R,Increasing size of House of Representatives,FALSE,0,0.1734,0.2035,0.3437,0.1489,0.2147,0.2092,0.3825,0.1152,0.132,0.3437,0.3825
200003995,White,Woman,Post-Grad,D,Increasing size of House of Representatives,FALSE,0,0.3582,0.2638,0.4982,0.3415,0.3384,0.4316,0.504,0.2761,0.4017,0.4982,0.504
